period,stateid,stateDescription,fuelid,fuelDescription,co2-rate-lbs-mwh,co2-thousand-metric-tons,nox-rate-lbs-mwh,nox-short-tons,so2-rate-lbs-mwh,so2-short-tons,co2-rate-lbs-mwh-units,co2-thousand-metric-tons-units,nox-rate-lbs-mwh-units,nox-short-tons-units,so2-rate-lbs-mwh-units,so2-short-tons-units
2022,OK,Oklahoma,ALL,Total,692,26607,.6,24098,.3,13224,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OK,Oklahoma,PET,Petroleum,,25,,53,,13,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OK,Oklahoma,OTH,Other,,137,,1548,,86,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OK,Oklahoma,NG,Natural Gas,,16391,,14332,,87,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OK,Oklahoma,COL,Coal,,10054,,8165,,13038,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OH,Ohio,ALL,Total,1162,71710,.7,46220,1.4,94133,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OH,Ohio,PET,Petroleum,,2245,,3011,,25033,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OH,Ohio,OTH,Other,,24,,9847,,1968,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OH,Ohio,NG,Natural Gas,,27741,,6013,,146,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,OH,Ohio,COL,Coal,,41700,,27349,,66986,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MS,Mississippi,ALL,Total,886,27308,.5,17555,.4,12600,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MS,Mississippi,PET,Petroleum,,12,,6,,10,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MS,Mississippi,OTH,Other,,0,,2218,,9305,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MS,Mississippi,NG,Natural Gas,,21041,,12200,,121,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MS,Mississippi,COL,Coal,,6255,,3131,,3164,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MO,Missouri,ALL,Total,1584,57147,1.3,49615,2.4,95807,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MO,Missouri,PET,Petroleum,,180,,602,,164,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MO,Missouri,OTH,Other,,0,,617,,15,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MO,Missouri,NG,Natural Gas,,4342,,3429,,15,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MO,Missouri,COL,Coal,,52625,,44967,,95613,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MN,Minnesota,ALL,Total,833,22327,.8,22628,.5,15007,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MN,Minnesota,PET,Petroleum,,64,,216,,138,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MN,Minnesota,OTH,Other,,458,,4928,,5838,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MN,Minnesota,NG,Natural Gas,,4312,,4618,,19,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MN,Minnesota,COL,Coal,,17493,,12866,,9012,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MI,Michigan,ALL,Total,1096,58510,.9,53786,.9,53778,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MI,Michigan,PET,Petroleum,,2412,,1695,,4001,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MI,Michigan,OTH,Other,,233,,11707,,6390,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MI,Michigan,NG,Natural Gas,,19439,,20818,,368,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MI,Michigan,COL,Coal,,36426,,19566,,43019,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,ME,Maine,PET,Petroleum,,279,,321,,758,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,ME,Maine,OTH,Other,,479,,3847,,4668,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,ME,Maine,NG,Natural Gas,,1915,,692,,7,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,ME,Maine,COL,Coal,,118,,163,,116,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,ME,Maine,ALL,Total,481,2792,.8,5023,.9,5549,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MD,Maryland,ALL,Total,666,11240,.3,5578,.2,3790,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MD,Maryland,PET,Petroleum,,143,,483,,206,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MD,Maryland,OTH,Other,,561,,2085,,117,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MD,Maryland,NG,Natural Gas,,5642,,1044,,30,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MD,Maryland,COL,Coal,,4894,,1966,,3437,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MA,Massachusetts,ALL,Total,952,9098,.8,8129,.2,2449,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MA,Massachusetts,PET,Petroleum,,545,,379,,673,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MA,Massachusetts,OTH,Other,,1489,,4666,,1752,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MA,Massachusetts,NG,Natural Gas,,7064,,3084,,24,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,LA,Louisiana,ALL,Total,1006,48266,1.1,57461,.7,36409,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,LA,Louisiana,PET,Petroleum,,3585,,1881,,606,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,LA,Louisiana,OTH,Other,,13,,7682,,15078,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,LA,Louisiana,NG,Natural Gas,,35763,,42026,,196,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,LA,Louisiana,COL,Coal,,8905,,5872,,20529,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,NC,North Carolina,ALL,Total,676,41255,.7,44291,.4,25706,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,NC,North Carolina,PET,Petroleum,,280,,730,,266,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MT,Montana,ALL,Total,1109,13656,1,12989,.6,8665,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MT,Montana,PET,Petroleum,,759,,646,,2939,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MT,Montana,OTH,Other,,0,,569,,9,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MT,Montana,NG,Natural Gas,,454,,1909,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,MT,Montana,COL,Coal,,12442,,9865,,5717,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AR,Arkansas,ALL,Total,1045,31303,.7,21690,1.3,41239,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AR,Arkansas,PET,Petroleum,,51,,23,,146,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AR,Arkansas,OTH,Other,,18,,2986,,9440,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AR,Arkansas,NG,Natural Gas,,10840,,3815,,69,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AR,Arkansas,COL,Coal,,20394,,14866,,31584,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AL,Alabama,ALL,Total,794,52252,.4,26279,.4,29847,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AL,Alabama,PET,Petroleum,,53,,117,,38,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AL,Alabama,OTH,Other,,0,,8163,,25991,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AL,Alabama,NG,Natural Gas,,26712,,9412,,135,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AL,Alabama,COL,Coal,,25487,,8587,,3683,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AK,Alaska,ALL,Total,1180,3592,6,19923,.7,2434,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AK,Alaska,PET,Petroleum,,624,,7338,,982,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AK,Alaska,OTH,Other,,0,,478,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AK,Alaska,NG,Natural Gas,,1467,,9818,,7,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AK,Alaska,COL,Coal,,1500,,2289,,1445,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,DC,District of Columbia,ALL,Total,874,64,5.7,459,0,1,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,DC,District of Columbia,PET,Petroleum,,0,,0,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,DC,District of Columbia,OTH,Other,,0,,285,,1,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,DC,District of Columbia,NG,Natural Gas,,64,,174,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CT,Connecticut,ALL,Total,550,10757,.3,5512,.1,1085,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CT,Connecticut,PET,Petroleum,,300,,453,,591,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CT,Connecticut,OTH,Other,,843,,2135,,450,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CT,Connecticut,NG,Natural Gas,,9614,,2924,,44,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CO,Colorado,ALL,Total,1127,29739,.7,19437,.4,10430,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CO,Colorado,PET,Petroleum,,28,,66,,16,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CO,Colorado,OTH,Other,,0,,866,,13,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CO,Colorado,NG,Natural Gas,,7528,,4208,,47,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CO,Colorado,COL,Coal,,22183,,14297,,10354,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CA,California,ALL,Total,481,44448,.7,69963,0,1246,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CA,California,PET,Petroleum,,132,,834,,192,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CA,California,OTH,Other,,736,,24652,,685,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CA,California,NG,Natural Gas,,42397,,43713,,232,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,CA,California,COL,Coal,,1183,,764,,137,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AZ,Arizona,ALL,Total,692,32948,.5,25030,.1,7436,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AZ,Arizona,PET,Petroleum,,27,,13,,6,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AZ,Arizona,OTH,Other,,0,,365,,29,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2022,AZ,Arizona,NG,Natural Gas,,18552,,13885,,128,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,AZ,Arizona,COL,Coal,,14607,,12036,,7436,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WY,Wyoming,ALL,Total,1858,36701,1.5,31973,1.2,25292,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WY,Wyoming,PET,Petroleum,,49,,37,,11,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WY,Wyoming,OTH,Other,,0,,3571,,8,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WY,Wyoming,NG,Natural Gas,,1058,,2111,,5,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WY,Wyoming,COL,Coal,,35593,,26254,,25268,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WV,West Virginia,ALL,Total,1933,57839,1,34331,1.4,47208,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WV,West Virginia,PET,Petroleum,,129,,44,,11,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WV,West Virginia,OTH,Other,,0,,144,,1,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WV,West Virginia,NG,Natural Gas,,1528,,1208,,5,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WV,West Virginia,COL,Coal,,56181,,32935,,47191,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WI,Wisconsin,ALL,Total,1246,36408,.7,24030,.5,14910,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WI,Wisconsin,PET,Petroleum,,432,,468,,439,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WI,Wisconsin,OTH,Other,,47,,6064,,2629,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WI,Wisconsin,NG,Natural Gas,,9376,,5873,,51,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WI,Wisconsin,COL,Coal,,26553,,11625,,11791,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WA,Washington,ALL,Total,219,11048,.2,13074,.3,16425,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WA,Washington,PET,Petroleum,,103,,195,,242,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WA,Washington,OTH,Other,,131,,5084,,14966,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WA,Washington,NG,Natural Gas,,7362,,4312,,59,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,WA,Washington,COL,Coal,,3453,,3483,,1158,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VT,Vermont,ALL,Total,11,11,1.2,1218,0,49,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VT,Vermont,PET,Petroleum,,4,,27,,9,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VT,Vermont,OTH,Other,,0,,1175,,40,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VT,Vermont,NG,Natural Gas,,6,,16,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VA,Virginia,ALL,Total,649,27575,.4,20185,.3,14145,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VA,Virginia,PET,Petroleum,,396,,758,,360,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VA,Virginia,OTH,Other,,1022,,11845,,10627,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VA,Virginia,NG,Natural Gas,,22728,,5254,,131,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,VA,Virginia,COL,Coal,,3430,,2328,,3027,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,UT,Utah,ALL,Total,1536,29710,1.7,36318,.5,10231,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,UT,Utah,PET,Petroleum,,30,,89,,9,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,UT,Utah,OTH,Other,,9,,1141,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,UT,Utah,NG,Natural Gas,,4608,,2681,,24,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KS,Kansas,ALL,Total,885,22791,.6,17839,.2,4359,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KS,Kansas,PET,Petroleum,,157,,1387,,189,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KS,Kansas,OTH,Other,,0,,779,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KS,Kansas,NG,Natural Gas,,1484,,4514,,6,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KS,Kansas,COL,Coal,,21150,,11159,,4164,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IN,Indiana,ALL,Total,1646,70434,1.2,57866,.8,36093,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IN,Indiana,PET,Petroleum,,121,,95,,66,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IN,Indiana,OTH,Other,,368,,11090,,707,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IN,Indiana,NG,Natural Gas,,13847,,7087,,78,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IN,Indiana,COL,Coal,,56099,,39594,,35242,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IL,Illinois,ALL,Total,693,57167,.4,34439,.7,60766,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IL,Illinois,PET,Petroleum,,49,,259,,44,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IL,Illinois,OTH,Other,,7,,3363,,34,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IL,Illinois,NG,Natural Gas,,10751,,8554,,54,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IL,Illinois,COL,Coal,,46360,,22263,,60634,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,ID,Idaho,ALL,Total,336,2573,.5,4349,.5,4006,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,ID,Idaho,PET,Petroleum,,0,,1,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,ID,Idaho,OTH,Other,,0,,2589,,3575,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,ID,Idaho,NG,Natural Gas,,2440,,1485,,15,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,ID,Idaho,COL,Coal,,133,,274,,416,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IA,Iowa,COL,Coal,,25275,,21480,,29133,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IA,Iowa,ALL,Total,947,28923,.8,26706,.9,30015,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IA,Iowa,PET,Petroleum,,233,,653,,835,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IA,Iowa,OTH,Other,,0,,1653,,25,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,IA,Iowa,NG,Natural Gas,,3415,,2920,,22,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,HI,Hawaii,ALL,Total,1540,6429,3.6,16359,3.9,17721,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,HI,Hawaii,PET,Petroleum,,4856,,14284,,17005,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,HI,Hawaii,OTH,Other,,353,,1203,,422,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,HI,Hawaii,COL,Coal,,1221,,872,,294,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,GA,Georgia,OTH,Other,,221,,16714,,37386,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,GA,Georgia,NG,Natural Gas,,23495,,7079,,137,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,GA,Georgia,COL,Coal,,19337,,13154,,9917,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,GA,Georgia,ALL,Total,772,43566,.6,37537,.8,48870,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,GA,Georgia,PET,Petroleum,,513,,590,,1430,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,FL,Florida,OTH,Other,,2941,,17514,,20977,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,FL,Florida,NG,Natural Gas,,73850,,28208,,380,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,FL,Florida,COL,Coal,,18293,,6846,,15250,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,FL,Florida,ALL,Total,860,96324,.4,53231,.3,39508,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,FL,Florida,PET,Petroleum,,1241,,663,,2901,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,DE,Delaware,COL,Coal,,423,,172,,632,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KY,Kentucky,PET,Petroleum,,68,,27,,22,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KY,Kentucky,OTH,Other,,64,,2377,,3217,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KY,Kentucky,NG,Natural Gas,,6236,,3153,,54,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KY,Kentucky,COL,Coal,,49789,,29061,,47938,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,KY,Kentucky,ALL,Total,1767,56157,1,34618,1.5,51231,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,TX,Texas,ALL,Total,941,206175,.7,163412,.7,163075,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,TX,Texas,PET,Petroleum,,434,,1512,,1152,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,TX,Texas,OTH,Other,,9,,8797,,6986,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,TX,Texas,NG,Natural Gas,,113147,,97464,,745,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,TX,Texas,COL,Coal,,92585,,55639,,154192,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2021,TN,Tennessee,ALL,Total,754,27107,.3,12488,.7,26985,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
